,Optimal number of servers
7.5,16
8.0,16
8.5,45
9.0,45
9.5,17
10.0,17
10.5,32
11.0,43
11.5,44
12.0,19
12.5,22
13.0,42
13.5,22
14.0,32
14.5,26
15.0,27
15.5,64
16.0,29
16.5,26
17.0,28
17.5,29
18.0,30
18.5,29
19.0,32
19.5,56
20.0,31
20.5,36
21.0,37
21.5,36
22.0,37
22.5,37
23.0,39
23.5,39
24.0,39
24.5,70
25.0,39
