periodIndex,sampleEvent,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,numberOfServers,requestCancelled,nextPeriodOptimalServers
19,72000.0,63994.0,63994.0,0.6643435322061443,0.6752810907977755,12.41027283807857,63992.0,2.3391503036190513,31.0,,34
20,72000.0,66865.0,66865.0,0.66632767516638,0.5248364695460273,10.120346967770882,66865.0,2.191623997959749,33.0,,32
21,72000.0,64503.0,64503.0,0.6697052850255026,0.8223133832399389,15.150861200254251,64511.0,2.4910610868532674,33.0,2.0,29
22,72000.0,57804.0,57804.0,0.6650577814684104,0.6891116046140471,11.485087537194659,57808.0,2.3546490222180774,30.5,,28
23,72000.0,54254.0,54254.0,0.6665683636229587,0.45028723106244206,7.1768717513916025,54254.0,2.116482375654523,28.5,,20
24,72000.0,38167.0,38167.0,0.6657059763670187,0.45118170097650273,5.229727251290382,38176.0,2.116712758059239,24.0,,20
25,72000.0,34047.0,34047.0,0.6691338443915763,0.1351826140191042,1.5483008781977854,34054.0,1.8047269801335593,20.0,,14
26,72000.0,27994.0,27994.0,0.6615703365006788,0.9782731820056927,8.167214403086376,27992.0,2.6394307671344337,17.0,5.0,20
27,72000.0,31215.0,31215.0,0.6646804420951465,0.05245159187382095,0.6038122697421112,31220.0,1.7184308655405016,17.0,,14
28,72000.0,30302.0,30302.0,0.668206719028447,2.9107600740868476,25.200481816381757,30265.0,4.577866547205987,17.0,212.0,19
29,72000.0,36589.0,36589.0,0.6652819153297439,0.5276277857694218,5.789718221323349,36614.0,2.1944360693625624,16.5,3.0,28
30,72000.0,47308.0,47308.0,0.6643062484146445,0.0743756631931318,1.1701192187367888,47310.0,1.7380745771792971,23.5,,28
31,72000.0,53098.0,53098.0,0.6698369053448341,0.3379869477035546,5.35074767411202,53095.0,2.008223420281554,28.0,,29
32,72000.0,58498.0,58498.0,0.6655783103695853,0.8319631565916457,13.969349379465964,58484.0,2.4963201536679085,28.5,,32
33,72000.0,63917.0,63917.0,0.6679600106387972,0.7071351847382938,12.962138398235211,63919.0,2.3748778973231235,30.5,3.0,32
