,Optimal number of servers
7.5,13
8.5,14
9.5,16
10.5,17
11.5,19
12.5,20
13.5,22
14.5,23
15.5,27
16.5,27
17.5,29
18.5,29
19.5,32
20.5,33
21.5,36
22.5,35
23.5,39
24.5,41
25.5,42
26.5,41
27.5,44
28.5,46
29.5,47
30.5,54
31.5,51
32.5,53
33.5,55
34.5,56
