,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
47,47,15.864280051228883,54287,54287,0.9650078572641014,54292,2.6310857455089094,3.0,22.0,27,46183.0,36757.0
48,48,9.812600089151577,43359,43359,0.7185398799101806,43363,2.3848761068382545,2.0,18.0,22,36757.0,29115.0
49,49,5.959056926574328,34501,34501,0.5038234580009048,34515,2.167831628539842,0.0,16.0,18,29115.0,24866.0
50,50,3.989712963541992,29655,29655,0.349677511889529,29666,2.0164302796793225,0.0,17.0,16,24866.0,26984.0
51,51,5.142192938175828,32089,32089,0.4476782099338195,32084,2.114828571116776,0.0,18.0,17,26984.0,29876.0
52,52,7.562399005593536,35278,35278,0.6640218979601191,35276,2.329650485461128,0.0,20.0,18,29876.0,32688.0
53,53,6.882735117683401,38699,38699,0.5430857201330249,38688,2.209971339518072,0.0,26.0,20,32688.0,43093.0
54,54,9.79452292979787,50901,50901,0.6081903650095405,50893,2.2756701330179787,0.0,30.0,26,43093.0,50431.0
55,55,13.023149184945956,59429,59429,0.71685080139381,59431,2.3862253178878725,0.0,33.0,30,50431.0,55075.0
56,56,12.664215110096158,64982,64982,0.6363793461301773,64975,2.3020847013639663,0.0,34.0,33,55075.0,58737.0
57,57,20.42614365613963,68983,68983,0.9975430600905872,68973,2.661688117955649,12.0,36.0,34,58737.0,61500.0
58,58,19.897978649253456,72371,72371,0.9180314136848274,72360,2.585121437395117,20.0,37.0,36,61500.0,62327.0
59,59,15.982097697324637,73412,73412,0.7236760146474175,73430,2.392665986086332,1.0,36.0,37,62327.0,61630.0
60,60,19.485128298619024,72437,72437,0.9108660295712638,72442,2.578943543134394,4.0,35.0,36,61630.0,59989.0
61,61,19.000934404784157,70510,70510,0.9137196717865772,70492,2.582154580747728,1.0,35.0,35,59989.0,60028.0
62,62,18.8139803636022,70535,70535,0.898237873554954,70549,2.562444401834033,7.0,34.0,35,60028.0,57363.0
63,63,14.665376339657994,67563,67563,0.7205933959843054,67569,2.3889612855890987,2.0,33.0,34,57363.0,55692.0
64,64,14.794421015732055,65591,65591,0.7457759868590205,65592,2.412820652904236,0.0,34.0,33,55692.0,57022.0
65,65,13.781361249907569,67237,67237,0.6726184479828283,67222,2.339860575148649,0.0,34.0,34,57022.0,57803.0
66,66,16.042602043374075,67994,67994,0.7884283836543307,68006,2.452552595954697,1.0,36.0,34,57803.0,60321.0
67,67,13.52448374616892,71127,71127,0.6319809124635226,71121,2.2989939448461807,0.0,37.0,36,60321.0,61530.0
68,68,13.27445973090006,72632,72632,0.5992020413973942,72630,2.265653134667802,0.0,36.0,37,61530.0,60027.0
69,69,12.93045235567894,70816,70816,0.604601513521133,70827,2.2741638308874474,0.0,33.0,36,60027.0,55200.0
70,70,13.270555280935904,65101,65101,0.667386718106769,65103,2.3363590014325744,1.0,31.0,33,55200.0,51150.0
71,71,10.636647670465909,60451,60451,0.5554290421097337,60450,2.221891137911982,0.0,21.0,31,51150.0,34661.0
72,72,8.092307126977419,40951,40951,0.611018235989266,40961,2.2768946000427706,0.0,17.0,21,34661.0,27208.0
73,73,5.374141728203135,32294,32294,0.4663722219393155,32308,2.1302617456103947,0.0,15.0,17,27208.0,24992.0
74,74,7.118446601941748,29497,29497,0.7416848327670386,29492,2.40847892812934,0.0,16.0,15,24992.0,25652.0
75,75,5.472475087530299,30448,30448,0.5020330717006577,30452,2.1683585367863003,0.0,14.0,16,25652.0,23190.0
76,76,6.988517967254944,27403,27403,0.756888059572626,27396,2.4239747528513167,2.0,20.0,14,23190.0,32730.0
77,77,7.953201055615287,38756,38756,0.615724956593305,38739,2.2847633903707223,3.0,24.0,20,32730.0,39710.0
