,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
229,229,14.7444094343663,69335,69335,0.6991162030498062,69344,2.3642194488884924,0.0,35.0,35,58844.0,58416.0
230,230,13.14155299055614,68914,68914,0.6239491012258678,68916,2.2921520666915933,0.0,34.0,35,58416.0,57104.0
231,231,14.345903372449518,67299,67299,0.6981461692088827,67310,2.3631523419436657,2.0,33.0,34,57104.0,55162.0
232,232,12.701638691259944,65061,65061,0.637911717111176,65062,2.3043177254343776,0.0,33.0,33,55162.0,56133.0
233,233,16.83390298138692,66059,66059,0.8476435290619433,66057,2.5122763414872797,8.0,33.0,33,56133.0,56074.0
234,234,15.95274374442855,65997,65997,0.8038079642959453,65995,2.4673862417678056,7.0,36.0,33,56074.0,60629.0
235,235,15.292974911096524,71442,71442,0.7094125757393493,71441,2.3774112204463718,4.0,37.0,36,60629.0,62932.0
236,236,17.82221552841521,74074,74074,0.8062168700686696,74050,2.472155770417814,6.0,36.0,37,62932.0,60101.0
237,237,13.952760537097886,70889,70889,0.6462977751859261,70901,2.315595594839336,0.0,32.0,36,60101.0,53009.0
238,238,10.998058529961764,62595,62595,0.5684073213902928,62609,2.2349402717767948,0.0,30.0,32,53009.0,49869.0
239,239,11.094871153365023,58874,58874,0.6060283093422119,58875,2.2710668731852555,2.0,21.0,30,49869.0,33662.0
240,240,6.526105746365873,39946,39946,0.4685605682951842,39962,2.137649447478143,0.0,17.0,21,33662.0,26568.0
241,241,4.178066621980007,31664,31664,0.3494715080949462,31668,2.007936817230036,0.0,16.0,17,26568.0,24980.0
242,242,4.090869713189568,29776,29776,0.3570928346475869,29780,2.0180414883931816,0.0,13.0,16,24980.0,19756.0
243,243,3.137404580152672,23651,23651,0.3181336801654762,23656,1.9841400660945208,0.0,16.0,13,19756.0,24816.0
244,244,4.043421865348981,29622,29622,0.3551156907387373,29616,2.024214497418878,0.0,18.0,16,24816.0,29544.0
245,245,6.843198924148103,34949,34949,0.5878411921514913,34944,2.254611384770321,0.0,24.0,18,29544.0,40170.0
246,246,10.31366272046388,47381,47381,0.6945091580167551,47370,2.3598230162171725,0.0,27.0,24,40170.0,45583.0
247,247,12.636814567306446,53714,53714,0.7664887059549736,53701,2.431811853713941,6.0,29.0,27,45583.0,49616.0
248,248,15.597824487532115,58329,58329,0.899529727016521,58334,2.5680043116742937,6.0,32.0,29,49616.0,53118.0
249,249,11.16375949590719,62714,62714,0.5789973810082736,62718,2.246045046114485,0.0,33.0,32,53118.0,54776.0
250,250,12.629464896674422,64698,64698,0.6250122638960285,64682,2.2922643339941278,2.0,33.0,33,54776.0,56234.0
251,251,16.09826125815035,66122,66122,0.8158623696025961,66134,2.484202147042024,0.0,32.0,33,56234.0,54840.0
252,252,17.29904930942326,64448,64448,0.9027991460191716,64443,2.570754467842216,1.0,33.0,32,54840.0,54786.0
253,253,11.769936557746094,64690,64690,0.5917406817735346,64686,2.259756761611489,0.0,32.0,33,54786.0,53387.0
254,254,12.492875655128724,62983,62983,0.6414298143681233,62987,2.3084882869503445,0.0,31.0,32,53387.0,52088.0
255,255,13.244258224705153,61392,61392,0.7064550335637839,61400,2.37292662484056,4.0,30.0,31,52088.0,51193.0
256,256,16.23117821025465,60225,60225,0.8940612009138251,60214,2.561757744558509,7.0,30.0,30,51193.0,51196.0
257,257,15.643339520114491,60202,60202,0.8641375046115565,60205,2.528210718788176,3.0,31.0,30,51196.0,52274.0
258,258,13.968157464328014,61579,61579,0.749925412260936,61574,2.4181299656077964,0.0,32.0,31,52274.0,54030.0
259,259,14.489473741591532,63631,63631,0.7504121622337196,63636,2.41739826240601,2.0,34.0,32,54030.0,57064.0
260,260,14.547423813347988,67269,67269,0.7067692444613551,67273,2.3720935729629136,3.0,32.0,34,57064.0,54714.0
261,261,17.654676929770943,64345,64345,0.9020070117725512,64332,2.5661005704179414,6.0,29.0,32,54714.0,48801.0
262,262,12.6357743860679,57478,57478,0.7265475677808895,57501,2.3933450011776087,0.0,27.0,29,48801.0,44986.0
263,263,11.03806939648084,53088,53088,0.6580630593464166,53086,2.3242579262187246,0.0,24.0,27,44986.0,40770.0
264,264,12.56356426073855,47999,47999,0.8565376581342656,47988,2.5211283393274626,6.0,20.0,24,40770.0,32050.0
265,265,5.328603418841319,38034,38034,0.4105774920294134,38050,2.0747367732325457,0.0,18.0,20,32050.0,28595.0
266,266,5.558570714642679,33989,33989,0.4504131658280677,33995,2.122053031557757,0.0,17.0,18,28595.0,28200.0
267,267,7.859866602308131,33304,33304,0.7053765199204285,33306,2.370705144127783,2.0,18.0,17,28200.0,30138.0
268,268,8.943598622803352,35540,35540,0.7881518713086089,35538,2.458545385145998,0.0,21.0,18,30138.0,35228.0
269,269,10.104110054347826,41543,41543,0.7699491907607693,41531,2.4379378646297303,1.0,28.0,21,35228.0,47038.0
270,270,12.293893129770993,55439,55439,0.7184355932527484,55438,2.3839737864164494,0.0,32.0,28,47038.0,54195.0
271,271,15.535593983994508,63824,63824,0.8051450152175976,63816,2.472807251668161,7.0,36.0,32,54195.0,60857.0
272,272,16.062659313606716,71665,71665,0.7428646439565076,71660,2.4085443421640846,1.0,38.0,36,60857.0,64481.0
273,273,17.6979767102043,75905,75905,0.7877317040024018,75896,2.455857548467108,5.0,40.0,38,64481.0,66968.0
274,274,15.394889050563842,78963,78963,0.6401630000261148,78971,2.305896382597739,1.0,40.0,40,66968.0,67677.0
275,275,18.10043331978308,79685,79685,0.762653574645662,79689,2.430466224267672,4.0,39.0,40,67677.0,65687.0
276,276,16.16688296955121,77399,77399,0.7003437699045849,77393,2.3673826729958285,2.0,39.0,39,65687.0,65480.0
277,277,16.006301657609935,77181,77181,0.6914882134210774,77180,2.3606414871331567,0.0,38.0,39,65480.0,63704.0
278,278,14.32714464352192,75105,75105,0.6384189103482796,75104,2.3041552434039723,0.0,37.0,38,63704.0,62315.0
279,279,15.366997053308332,73421,73421,0.692584441884608,73415,2.35727770209301,0.0,36.0,37,62315.0,61677.0
280,280,20.76005949088139,72492,72492,0.9573358725572833,72498,2.626276858341118,7.0,36.0,36,61677.0,61618.0
281,281,19.07954078792469,72412,72412,0.8944586881424798,72418,2.5618542008653047,0.0,37.0,36,61618.0,62042.0
282,282,14.747735369456194,73131,73131,0.6597737027213498,73142,2.323208238980425,0.0,38.0,37,62042.0,65062.0
283,283,19.96445596214183,76474,76474,0.8885533924466886,76474,2.5539280291434165,4.0,40.0,38,65062.0,67770.0
284,284,19.000938029793204,79784,79784,0.7968599337003954,79770,2.462905925877765,0.0,39.0,40,67770.0,67225.0
285,285,23.03368517070628,78955,78955,0.9952756557608774,78943,2.665078692151305,6.0,35.0,39,67225.0,59083.0
286,286,15.041062220349524,69563,69563,0.7173765262447016,69583,2.383611367027815,0.0,32.0,35,59083.0,54488.0
287,287,16.38094437909595,64100,64100,0.8553303219828597,64094,2.522707502449008,2.0,26.0,32,54488.0,43580.0
288,288,10.59669246617295,51360,51360,0.6684850439986166,51380,2.3349356989658063,0.0,22.0,26,43580.0,36245.0
289,289,8.143921340182528,42839,42839,0.5861598416304152,42845,2.2515256054563046,0.0,18.0,22,36245.0,29562.0
290,290,6.722824187347081,34964,34964,0.5776592170813546,34962,2.2425708723873328,0.0,19.0,18,29562.0,31174.0
291,291,6.9725660195598,36889,36889,0.5704429182406068,36874,2.232045693151594,0.0,20.0,19,31174.0,33675.0
292,292,9.842059584115626,39673,39673,0.7766450259480138,39675,2.4395716649525,0.0,25.0,20,33675.0,40710.0
293,293,8.056767480531454,48197,48197,0.5068942646589886,48210,2.172379807724216,0.0,31.0,25,40710.0,51820.0
294,294,12.935376376774316,61156,61156,0.6820455072890942,61129,2.350140665578225,3.0,35.0,31,51820.0,60113.0
295,295,20.18297994854792,70640,70640,0.9624264062412208,70643,2.627972060224119,10.0,38.0,35,60113.0,65267.0
296,296,21.01248060620087,76691,76691,0.9281443436581858,76682,2.5933423798047257,5.0,41.0,38,65267.0,69292.0
297,297,17.38921623406309,81589,81589,0.7179268186435436,81595,2.3856184223087014,1.0,42.0,41,69292.0,72050.0
298,298,22.252685708071496,84673,84673,0.8939984241641634,84656,2.561188455863902,2.0,43.0,42,72050.0,73415.0
299,299,21.87159875193551,86304,86304,0.851941619094501,86318,2.5158473990998016,1.0,42.0,43,73415.0,72429.0
300,300,24.17646343964332,85052,85052,0.977002009033344,85041,2.643128694080364,4.0,42.0,42,72429.0,70612.0
301,301,17.18295568410505,83207,83207,0.6910137659994539,83215,2.359930158281756,1.0,41.0,42,70612.0,69695.0
302,302,17.867622596313794,81987,81987,0.7432767767748399,81998,2.4092831467454148,1.0,40.0,41,69695.0,68492.0
303,303,20.876218771543943,80499,80499,0.8870748336447688,80492,2.5552116015414037,0.0,40.0,40,68492.0,68004.0
304,304,19.84518828451883,80009,80009,0.8378449928286695,80010,2.5078939560655056,2.0,39.0,40,68004.0,65633.0
305,305,15.725733509816898,77329,77329,0.6721427629786603,77333,2.334779008154883,0.0,40.0,39,65633.0,67117.0
306,306,15.633315421816228,79122,79122,0.6566389427280812,79117,2.324259674087905,0.0,42.0,40,67117.0,70269.0
307,307,15.46688290851062,82875,82875,0.6197037807456701,82875,2.287077651296758,2.0,43.0,42,70269.0,73925.0
308,308,23.472088724584104,86855,86855,0.9144123292187654,86858,2.579747979271122,11.0,42.0,43,73925.0,71220.0
309,309,18.421690391895535,83834,83834,0.7393118793697693,83832,2.407160008752568,4.0,38.0,42,71220.0,64571.0
310,310,17.8561121306992,75967,75967,0.7851464596822965,75974,2.449108632835728,1.0,36.0,38,64571.0,59604.0
311,311,12.460868462221471,70417,70417,0.5734259660959704,70407,2.2400875191488594,1.0,25.0,36,59604.0,42391.0
312,312,12.654168668084814,49893,49893,0.8226351266813622,49897,2.4887557752042966,2.0,22.0,25,42391.0,35481.0
313,313,6.905257907962633,42052,42052,0.4842785630531363,42081,2.155677721168099,0.0,19.0,22,35481.0,32236.0
314,314,10.50165034262548,37958,37958,0.8867229069499859,37948,2.5521310956994694,4.0,20.0,19,32236.0,32752.0
315,315,7.734956569586919,38749,38749,0.5968124013131577,38752,2.267402858140589,0.0,20.0,20,32752.0,33153.0
316,316,8.238853503184714,39159,39159,0.6534818897061654,39153,2.3217784421054795,0.0,24.0,20,33153.0,39309.0
317,317,8.332782617402623,46504,46504,0.5455476407302591,46509,2.2096690013173887,0.0,31.0,24,39309.0,52423.0
318,318,14.72236374606154,61759,61759,0.779693486738071,61729,2.444994214120256,2.0,35.0,31,52423.0,59916.0
319,319,19.19175539432771,70433,70433,0.916508528951136,70440,2.582911439216533,8.0,38.0,35,59916.0,64798.0
320,320,18.30258688731033,76213,76213,0.8059309634149907,76201,2.469094197725477,1.0,40.0,38,64798.0,68836.0
321,321,23.65568024695328,80863,80863,0.997529254854895,80866,2.663809162781867,10.0,42.0,40,68836.0,70758.0
322,322,17.67546951311616,83355,83355,0.7104599811798142,83358,2.3777376438819706,0.0,43.0,42,70758.0,72599.0
323,323,18.45695758079364,85503,85503,0.7161278857562925,85499,2.3824459019441315,0.0,42.0,43,72599.0,71507.0
324,324,19.71033639340569,84108,84108,0.7929266878219491,84107,2.457635592148756,0.0,42.0,42,71507.0,70527.0
325,325,17.11084967541536,83112,83112,0.6889051913670163,83133,2.359259527058275,2.0,41.0,42,70527.0,69575.0
326,326,19.564029004307407,81881,81881,0.8013795759059716,81875,2.469724070656908,0.0,40.0,41,69575.0,67368.0
327,327,16.23304056805907,79383,79383,0.6850594066872338,79377,2.351067444056593,3.0,39.0,40,67368.0,66263.0
328,328,17.942084435027756,77976,77976,0.7731722109042304,77963,2.437710131351189,0.0,39.0,39,66263.0,66654.0
329,329,20.843367906231556,78341,78341,0.9017030964958488,78366,2.572496205057177,4.0,40.0,39,66654.0,68252.0
330,330,19.85972938036161,80286,80286,0.8327665466603145,80255,2.496077876737097,1.0,42.0,40,68252.0,71316.0
331,331,20.7301326380229,83911,83911,0.8300477680723338,83934,2.497554408598825,6.0,44.0,42,71316.0,74596.0
332,332,19.81595188243505,87801,87801,0.7559987848293904,87799,2.4210693955397136,1.0,42.0,44,74596.0,71799.0
333,333,21.82899839661314,84406,84406,0.8732835195117008,84411,2.5384535717488337,4.0,37.0,42,71799.0,62427.0
334,334,15.286596287968292,73539,73539,0.6928502649813661,73527,2.3584126572170216,0.0,35.0,37,62427.0,58923.0
335,335,15.5836601568753,69410,69410,0.7432383611146154,69423,2.41451978098384,0.0,20.0,35,58923.0,34007.0
336,336,12.32190555787714,40035,40035,0.979093929085777,40040,2.6473407046421005,11.0,17.0,20,34007.0,27493.0
337,337,6.521598351607918,32580,32580,0.5680363446556393,32593,2.2333650572187635,0.0,15.0,17,27493.0,24001.0
338,338,5.287944195088482,28486,28486,0.5135915846614352,28501,2.182235345655458,0.0,15.0,15,24001.0,23849.0
339,339,4.825849856257965,28349,28349,0.4726459250575856,28349,2.140160619761324,0.0,17.0,15,23849.0,27029.0
340,340,5.295627726102265,32140,32140,0.4556104023213329,32129,2.1230849359381283,0.0,20.0,17,27029.0,32944.0
341,341,7.602733125168652,38939,38939,0.5978060699475083,38944,2.2668917781969182,0.0,25.0,20,32944.0,40568.0
342,342,7.969663050813978,48081,48081,0.4996905062063327,48068,2.168989709198436,0.0,27.0,25,40568.0,45820.0
343,343,13.90336346649159,53935,53935,0.8462270111885333,53932,2.514040695800786,4.0,30.0,27,45820.0,49369.0
344,344,9.808115372009178,58372,58372,0.5313733468436603,58369,2.19611044295009,0.0,32.0,30,49369.0,54708.0
345,345,17.69860677297386,64341,64341,0.9140597269887676,64332,2.58351755639876,8.0,33.0,32,54708.0,55491.0
346,346,14.831456480474332,65395,65395,0.741459197272541,65400,2.412888406081497,3.0,33.0,33,55491.0,55895.0
347,347,17.115539423186927,65809,65809,0.8454183785769441,65813,2.512744431548159,6.0,33.0,33,55895.0,54996.0
348,348,12.590091903132755,64910,64910,0.63284827946597,64896,2.300169855326897,0.0,33.0,33,54996.0,55304.0
349,349,13.572797624894942,65204,65204,0.6818382906156515,65210,2.348442286800786,2.0,32.0,33,55304.0,54036.0
350,350,14.341494015863145,63633,63633,0.7421266443894273,63639,2.4087338623845795,1.0,30.0,32,54036.0,50493.0
351,351,12.689161675229052,59497,59497,0.7012238937531273,59493,2.3667986391082128,0.0,31.0,30,50493.0,52328.0
352,352,14.395478378530754,61649,61649,0.7622001762856724,61646,2.4278488051972102,6.0,30.0,31,52328.0,49408.0
353,353,10.394416085008856,58403,58403,0.5617705329057046,58408,2.226842846800929,0.0,30.0,30,49408.0,50718.0
354,354,14.02618873953666,59737,59737,0.7708350274041333,59736,2.4359915049158314,6.0,32.0,30,50718.0,53865.0
355,355,14.652865015895363,63463,63463,0.7549544466893615,63471,2.4224666131576957,2.0,34.0,32,53865.0,56575.0
356,356,12.537084427187892,66789,66789,0.6050712585274234,66775,2.26929946395684,0.0,33.0,34,56575.0,55257.0
357,357,12.943674784629213,65147,65147,0.6541894247950815,65157,2.323615156382248,0.0,29.0,33,55257.0,49214.0
358,358,14.763377620312962,57911,57911,0.8327759804407163,57920,2.4982462056817374,2.0,28.0,29,49214.0,45855.0
359,359,8.599407977928497,54258,54258,0.4952691689884277,54255,2.1601351924151584,0.0,20.0,28,45855.0,33757.0
360,360,10.657417030416406,39760,39760,0.8482019842519686,39766,2.5158174102559983,3.0,18.0,20,33757.0,29315.0
361,361,6.091084575327707,34699,34699,0.5230463177458275,34715,2.1922798579442366,0.0,15.0,18,29315.0,23220.0
362,362,3.742658320570021,27727,27727,0.3479988197785464,27720,2.0158178268437,0.0,16.0,15,23220.0,24801.0
363,363,3.883349513042934,29597,29597,0.3416233294563544,29601,2.0100394741602297,0.0,18.0,16,24801.0,28642.0
364,364,5.2675285927399305,34049,34049,0.4381614784685983,34042,2.1051840211742623,0.0,19.0,18,28642.0,31892.0
365,365,9.8524697110904,37623,37623,0.819947238553617,37601,2.4861841601877672,3.0,24.0,19,31892.0,40002.0
366,366,10.15914525721994,47183,47183,0.6806254931913689,47202,2.347675026305674,0.0,29.0,24,40002.0,47900.0
367,367,9.965092918131592,56611,56611,0.5621811437040636,56600,2.229321498172111,0.0,29.0,29,47900.0,48952.0
368,368,13.125901836796146,57660,57660,0.7475932118557123,57655,2.4124993870265725,1.0,32.0,29,48952.0,53416.0
369,369,12.349494879681146,63022,63022,0.6357462568183995,63025,2.3006144670579207,3.0,33.0,32,53416.0,54470.0
370,370,11.50294344382928,64372,64372,0.5700032547542365,64373,2.23669063280205,1.0,34.0,33,54470.0,57473.0
371,371,15.282835274000488,67692,67692,0.7487020164158685,67682,2.416125104576341,3.0,33.0,34,57473.0,54914.0
372,372,12.23918197984588,64810,64810,0.6062588466769298,64814,2.2682847040712857,0.0,32.0,33,54914.0,53698.0
373,373,13.478636414691676,63303,63303,0.699585737635237,63304,2.366141465884233,2.0,32.0,32,53698.0,54793.0
374,374,18.096172908895817,64412,64412,0.9486452272305032,64402,2.6172058010498547,3.0,31.0,32,54793.0,51406.0
375,375,11.091017127735167,60692,60692,0.5834856515518095,60706,2.2494082941464444,0.0,31.0,31,51406.0,52507.0
376,376,14.458575274199648,61829,61829,0.7684287994650327,61822,2.434006219328513,5.0,30.0,31,52507.0,50798.0
377,377,14.27063602573102,59805,59805,0.7919034681524185,59807,2.458311127033038,3.0,31.0,30,50798.0,52501.0
378,378,15.169424612441894,61806,61806,0.8038814258471212,61807,2.4694756627405163,2.0,32.0,31,52501.0,54689.0
379,379,16.927752591009533,64297,64297,0.877552735804612,64295,2.543406829729209,2.0,34.0,32,54689.0,56704.0
380,380,13.301574939425407,66916,66916,0.6489815325868723,66904,2.3178504314219897,0.0,33.0,34,56704.0,56196.0
381,381,16.194472191043054,66106,66106,0.814990172654311,66105,2.478182163862534,3.0,28.0,33,56196.0,48061.0
382,382,15.320438024888848,56457,56457,0.9089101442105356,56470,2.5713479695585337,3.0,27.0,28,48061.0,45546.0
383,383,12.745034491735,53660,53660,0.7627539870218606,53646,2.4267701882332235,0.0,22.0,27,45546.0,36686.0
384,384,9.328490825156775,43259,43259,0.6863415570001982,43286,2.356927096279512,0.0,19.0,22,36686.0,30172.0
385,385,5.286637206398002,35866,35866,0.4163590466159604,35872,2.081386915587118,0.0,16.0,19,30172.0,26285.0
386,386,6.889934396398985,31086,31086,0.6582275280619126,31091,2.3282705356351223,2.0,17.0,16,26285.0,28055.0
387,387,6.872719462844483,33159,33159,0.6264322724618309,33155,2.289174533123368,0.0,17.0,17,28055.0,26534.0
388,388,4.41836262719704,31627,31627,0.3702426684466651,31634,2.0342657241064326,0.0,20.0,17,26534.0,32642.0
389,389,6.957560432891676,38659,38659,0.5403359678688948,38642,2.201692584949076,0.0,26.0,20,32642.0,42804.0
390,390,9.237243752805629,50604,50604,0.5718560863364051,50604,2.2393661038981647,0.0,29.0,26,42804.0,49801.0
391,391,16.282394532701336,58516,58516,0.9294307926012018,58510,2.593021218783974,3.0,33.0,29,49801.0,55957.0
392,392,15.82670396116984,65877,65877,0.8045198210822537,65872,2.4760808390870324,5.0,34.0,33,55957.0,58036.0
393,393,17.37863565285379,68237,68237,0.8575698760588459,68236,2.5251226417170867,0.0,36.0,34,58036.0,60215.0
394,394,13.59167470654446,71017,71017,0.6407988891048265,71015,2.310487491719716,0.0,37.0,36,60215.0,63350.0
395,395,19.503236115946688,74455,74455,0.8818615908174039,74453,2.5475151624224948,1.0,35.0,37,63350.0,60149.0
396,396,19.7553057869558,70643,70643,0.9425970676579364,70655,2.610181994229566,2.0,35.0,35,60149.0,60123.0
397,397,19.657442925775577,70664,70664,0.9386333295501856,70635,2.6027113426748625,4.0,35.0,35,60123.0,59235.0
398,398,16.59057718199955,69725,69725,0.7892204780191939,69741,2.4582567288211976,2.0,34.0,35,59235.0,58133.0
399,399,17.731114898892073,68332,68332,0.8776469192980169,68336,2.54597942022986,1.0,33.0,34,58133.0,56015.0
400,400,15.578478106435773,65919,65919,0.7921032130885212,65915,2.4614104448047,0.0,33.0,33,56015.0,54950.0
401,401,12.396177726693937,64838,64838,0.6255562100924074,64853,2.2911897400272694,1.0,34.0,33,54950.0,56492.0
402,402,12.082013543317558,66699,66699,0.5856331300997188,66692,2.2506609016017034,0.0,35.0,34,56492.0,59432.0
403,403,16.094132886611995,69950,69950,0.7743616830074538,69932,2.4406256651954856,0.0,37.0,35,59432.0,61991.0
404,404,14.283704480214752,73085,73085,0.6445595710174412,73091,2.310528217466093,0.0,36.0,37,61991.0,61548.0
405,405,19.51414709308191,72359,72359,0.9041550753373796,72369,2.570830670969053,7.0,32.0,36,61548.0,53554.0
406,406,13.267489388460934,63154,63154,0.6875693826770667,63157,2.3574643232224592,1.0,31.0,32,53554.0,51908.0
407,407,12.911434058598966,61217,61217,0.6860670234379779,61217,2.351937724437598,3.0,21.0,31,51908.0,33767.0
408,408,6.225371508437301,40046,40046,0.4560530830422901,40067,2.122658990583262,0.0,18.0,21,33767.0,28315.0
409,409,4.691325453777965,33716,33716,0.3776634705849683,33715,2.04123295956266,0.0,15.0,18,28315.0,23242.0
410,410,3.8439944931332057,27733,27733,0.3518701276862316,27742,2.016622049963378,0.0,15.0,15,23242.0,23317.0
411,411,3.851965521744809,27817,27817,0.3637804997608795,27817,2.03364809940863,0.0,16.0,15,23317.0,24785.0
412,412,3.757802391997223,29591,29591,0.3312717703336262,29585,1.9973597786597843,0.0,19.0,16,24785.0,29897.0
413,413,5.00205679734351,35595,35595,0.3855775525199809,35597,2.055522341278507,0.0,24.0,19,29897.0,39090.0
414,414,8.031418130139071,46306,46306,0.5241054962998755,46290,2.1927729090765644,0.0,27.0,24,39090.0,45992.0
415,415,14.01495484976835,54098,54098,0.8510250328677651,54101,2.5168257935183744,3.0,30.0,27,45992.0,49434.0
416,416,10.089473137275276,58436,58436,0.5491727729957364,58434,2.214512557596491,0.0,32.0,30,49434.0,53836.0
417,417,13.3193689998448,63435,63435,0.6910277299589381,63436,2.357074127943372,0.0,32.0,32,53836.0,53872.0
418,418,13.844216200627791,63492,63492,0.7080510462449282,63475,2.3714799341020973,1.0,34.0,32,53872.0,57265.0
419,419,14.399975062603255,67455,67455,0.707163677812811,67465,2.374492477704149,0.0,33.0,34,57265.0,55740.0
420,420,14.777925195855444,65662,65662,0.749232769952246,65649,2.417338656907314,3.0,32.0,33,55740.0,53275.0
421,421,11.984179355049315,62866,62866,0.6130127104027091,62875,2.279031179124956,0.0,32.0,32,53275.0,53446.0
422,422,12.791946997514083,63037,63037,0.6582718298528235,63046,2.3272677524562666,0.0,30.0,32,53446.0,50999.0
423,423,15.617913781046267,60008,60008,0.8548377158188235,59999,2.522072496471432,0.0,30.0,30,50999.0,49690.0
424,424,10.638107981872578,58690,58690,0.5805717642685849,58690,2.248481241302612,0.0,30.0,30,49690.0,50512.0
425,425,13.111045474415471,59525,59525,0.7227445183754541,59518,2.388021763402616,2.0,31.0,30,50512.0,51321.0
426,426,11.442281813510805,60614,60614,0.6051858118397426,60621,2.2720908384651177,0.0,32.0,31,51321.0,54762.0
427,427,17.10706029916346,64367,64367,0.8883350965049485,64377,2.5528120109219663,5.0,34.0,32,54762.0,57326.0
428,428,15.10850352384382,67538,67538,0.7393483857367108,67532,2.406782992894721,2.0,33.0,34,57326.0,56492.0
429,429,18.700015940700595,66428,66428,0.9469925997218775,66410,2.614226153599148,6.0,29.0,33,56492.0,49066.0
430,430,14.282774272507991,57762,57762,0.8103558664327232,57769,2.4779089887847463,1.0,27.0,29,49066.0,45955.0
431,431,14.664733698357391,54059,54059,0.892989469448962,54067,2.560956772964174,4.0,25.0,27,45955.0,40782.0
432,432,8.120388696018948,48270,48270,0.5137698067646563,48282,2.180803307057208,0.0,19.0,25,40782.0,31251.0
433,433,7.29128730657739,36944,36944,0.6030652553178999,36951,2.2710463893346,0.0,18.0,19,31251.0,28372.0
434,434,4.828799127771144,33776,33776,0.3972667636953921,33772,2.065322457749169,0.0,17.0,18,28372.0,28381.0
435,435,7.977487135506004,33478,33478,0.7374538675659383,33484,2.4041759913740504,1.0,19.0,17,28381.0,31183.0
436,436,6.901566275097892,36890,36890,0.5644821304174202,36883,2.2264031781445324,0.0,23.0,19,31183.0,37104.0
437,437,6.492715428444164,44012,44012,0.4434951593081908,44004,2.1100458262947983,0.0,29.0,23,37104.0,47961.0
438,438,10.291238567623246,56663,56663,0.5793588703102912,56661,2.247263308926351,0.0,33.0,29,47961.0,55315.0
439,439,14.18654084764579,65223,65223,0.7043889001411383,65218,2.372024255032708,1.0,36.0,33,55315.0,60828.0
440,440,15.625493535650692,71632,71632,0.7295742116967197,71628,2.395737073745814,0.0,37.0,36,60828.0,63210.0
441,441,19.2201716931098,74338,74338,0.8678014268069056,74337,2.5334092119258025,9.0,40.0,37,63210.0,67205.0
442,442,16.090307821040074,79201,79201,0.6752072118271863,79205,2.344543926499848,0.0,41.0,40,67205.0,68939.0
443,443,16.229644841749217,81252,81252,0.6731269721399017,81239,2.342974072392091,0.0,39.0,41,68939.0,65707.0
444,444,16.128440533265664,77404,77404,0.6943067642800949,77407,2.3614727695419444,0.0,38.0,39,65707.0,64261.0
445,445,17.01731277251163,75682,75682,0.7512865607399423,75667,2.4168920716201594,2.0,38.0,38,64261.0,64967.0
446,446,20.34335583817449,76381,76381,0.8951336790447895,76385,2.5603989037173407,6.0,37.0,38,64967.0,63628.0
447,447,21.149133473890487,74730,74730,0.960357133918025,74734,2.626191765134037,2.0,37.0,37,63628.0,62032.0
448,448,14.8974511370501,73132,73132,0.6720343537584882,73138,2.3395405747380007,2.0,36.0,37,62032.0,60652.0
449,449,15.379390848006278,71440,71440,0.716066391569051,71458,2.381372650579614,2.0,37.0,36,60652.0,62711.0
450,450,16.74081721465542,73822,73822,0.7598628836918213,73817,2.428461662198928,2.0,38.0,37,62711.0,65407.0
451,451,20.88937558247903,76843,76843,0.9231012994763091,76834,2.589505473989595,9.0,40.0,38,65407.0,67727.0
452,452,18.441929387509663,79722,79722,0.7762377867141322,79727,2.444172423199905,0.0,40.0,40,67727.0,67899.0
453,453,18.313894415082096,79905,79905,0.7703240905957853,79905,2.436564908009403,2.0,34.0,40,67899.0,58095.0
454,454,18.57283397788181,68326,68326,0.9112552370469807,68310,2.5807730704011878,5.0,32.0,34,58095.0,54042.0
455,455,14.02991401763238,63625,63625,0.732760165201903,63642,2.4001113843721744,0.0,26.0,32,54042.0,43323.0
456,456,10.327074985689752,51117,51117,0.6478450726635138,51123,2.312955205871064,0.0,21.0,26,43323.0,34335.0
457,457,7.1823453116655225,40623,40623,0.5385339728924263,40635,2.2039762867164665,0.0,20.0,21,34335.0,32913.0
458,458,7.938346567024754,38914,38914,0.6133856225964336,38913,2.2786318883554,0.0,19.0,20,32913.0,31096.0
459,459,7.22159718315728,36794,36794,0.5875367869411201,36796,2.2525141525464427,0.0,20.0,19,31096.0,33658.0
460,460,10.54384955906445,39680,39680,0.8402089921214624,39670,2.5090570992574057,4.0,25.0,20,33658.0,41007.0
461,461,8.41835177113003,48500,48500,0.5418177954264157,48507,2.212313290864866,0.0,31.0,25,41007.0,51340.0
462,462,11.163686870541014,60663,60663,0.593209746585021,60640,2.2596373206477574,0.0,35.0,31,51340.0,59071.0
463,463,15.408911099315995,69574,69574,0.7323191430566884,69583,2.3998504050167377,4.0,38.0,35,59071.0,64830.0
464,464,18.58545793728347,76261,76261,0.8166401929179103,76233,2.478607497628387,1.0,41.0,38,64830.0,69617.0
465,465,19.491042922283075,81913,81913,0.7981945674701407,81923,2.4630499706480404,2.0,42.0,41,69617.0,71618.0
466,466,20.24254436835666,84233,84233,0.8196302569533221,84224,2.487945482375976,2.0,43.0,42,71618.0,73112.0
