,periodIndex,arrivalEvent,requestStartWaiting,requestType,requestWaitingTime,totalInQueue,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,periodReward,nextPeriodReward
24,24,38138,38138,0.6649011484608527,0.4751889360385617,5.498688971629346,38172,2.140361304608835,0.0,17.0,20,32172.0,27252.0
25,25,32356,32356,0.6649462232661639,0.473519640796624,4.704011620719496,32352,2.139001636386462,0.0,16.0,17,27252.0,26380.0
26,26,31177,31177,0.664913237322385,0.651926267958937,6.139397632870385,31180,2.3181721102723816,0.0,16.0,16,26380.0,25264.0
27,27,30060,30060,0.6628409846972722,0.397243735380297,3.737924151696607,30064,2.0584046241729883,0.0,16.0,16,25264.0,26094.0
28,28,30902,30902,0.6705391236813151,0.615896483476685,5.799301016115462,30894,2.285411874515609,0.0,19.0,16,26094.0,30071.0
29,29,35769,35769,0.6670860242109089,0.3999970124080226,4.406049931504935,35771,2.068723310376605,0.0,24.0,19,30071.0,39497.0
30,30,46711,46711,0.6658388816338764,0.5599180319323821,7.733788615101368,46703,2.225124410438891,2.0,27.0,24,39497.0,44969.0
31,31,53085,53085,0.6654045398888575,0.6377931677950135,9.925609870961663,53069,2.303829526920353,0.0,30.0,27,44969.0,50411.0
32,32,59399,59399,0.6657351133857472,0.705290934171925,12.168386673176316,59417,2.3708759074993546,2.0,31.0,30,50411.0,52915.0
33,33,62253,62253,0.6662490161116733,0.8901388325910564,15.960082245032368,62239,2.555870572959701,8.0,33.0,31,52915.0,54518.0
34,34,64418,64418,0.6646123754230184,0.555341363137818,10.437548511285666,64418,2.219629552214521,0.0,34.0,33,54518.0,56431.0
35,35,66636,66636,0.6659013146047181,0.586477880628168,11.356158833063208,66631,2.2522958087197016,0.0,33.0,34,56431.0,54631.0
36,36,64533,64533,0.6650705840422729,0.561545114051232,10.60226550756977,64531,2.2252258421291997,0.0,32.0,33,54631.0,55046.0
37,37,64679,64679,0.6651308771007591,0.9312774497786036,17.294871596654247,64658,2.5950889498167897,4.0,32.0,32,55046.0,52878.0
38,38,62452,62452,0.6654070326010376,0.5588878029714544,10.181067059501697,62478,2.2258866366647934,0.0,31.0,32,52878.0,51940.0
39,39,61249,61249,0.6665414945550131,0.6927457457556633,12.307515224738363,61252,2.360028950203284,4.0,31.0,31,51940.0,51608.0
40,40,60908,60908,0.6654462467984501,0.6030979829224924,10.714093386747225,60908,2.2682372391310013,0.0,30.0,31,51608.0,51339.0
41,41,60368,60368,0.6649715080837529,0.9313586860588982,16.194175722236945,60354,2.597251335344977,5.0,32.0,30,51339.0,52753.0
42,42,62343,62343,0.6685594212662207,0.561400132119294,10.220730474953085,62359,2.230318795509721,2.0,32.0,32,52753.0,54176.0
43,43,63812,63812,0.6658622202720491,0.8018339958543328,14.792327461919388,63800,2.4676994079380616,8.0,34.0,32,54176.0,57600.0
44,44,67798,67798,0.6670108262780613,0.752850674870909,14.702321602407151,67803,2.420390915041885,1.0,33.0,34,57600.0,55326.0
45,45,65219,65219,0.6683788466551158,0.6702031272855694,12.667964856866863,65226,2.338870054082033,0.0,29.0,33,55326.0,49428.0
46,46,58130,58130,0.6618269396180974,0.842897321582539,14.157887493548944,58128,2.5053593367158373,0.0,28.0,29,49428.0,47450.0
47,47,55857,55857,0.6662549009076749,0.7872565250003175,12.757971248008309,55853,2.4533963982730524,1.0,23.0,28,47450.0,37470.0
48,48,44365,44365,0.6708441338893272,0.5147985362657754,6.826552462526767,44370,2.185335995611097,0.0,18.0,23,37470.0,29816.0
49,49,35205,35205,0.6664394262178668,0.7136504482415904,7.505354353074847,35225,2.3817392455159805,3.0,17.0,18,29816.0,26881.0
50,50,31992,31992,0.6683545886471618,0.3914115096021576,3.900162540635159,31981,2.0581995959149086,0.0,15.0,17,26881.0,23625.0
51,51,28112,28112,0.6679709732498577,0.4390344179901798,3.8711226522481503,28125,2.10911333941466,0.0,17.0,15,23625.0,27205.0
52,52,32309,32309,0.6636231390634189,0.468787978840134,4.65730910891702,32305,2.13252209247249,0.0,21.0,17,27205.0,33880.0
53,53,40187,40187,0.6636972155174559,0.4719224419615374,5.74663448378829,40180,2.134423787082164,0.0,26.0,21,33880.0,42463.0
54,54,50268,50268,0.665532744489536,0.5200814991997034,7.750934988461845,50263,2.1847914827182917,0.0,31.0,26,42463.0,51541.0
55,55,60847,60847,0.6656203263924269,0.6120552370380457,10.837921343698127,60841,2.2777322791042462,0.0,32.0,31,51541.0,54140.0
56,56,63742,63742,0.6672366728373756,0.7881925413011927,14.49584261554391,63749,2.455900113196637,3.0,35.0,32,54140.0,58892.0
57,57,69414,69414,0.6663497277206327,0.7240316000571835,14.521436597804476,69392,2.391043725456467,0.0,36.0,35,58892.0,61185.0
58,58,71994,71994,0.6675139594966247,0.8001547560346717,16.517779259382728,71988,2.467740961854948,1.0,37.0,36,61185.0,61950.0
59,59,73054,73054,0.665740411202672,0.6556445207922627,13.848509321871491,73056,2.3211787222384643,2.0,37.0,37,61950.0,61877.0
60,60,72955,72955,0.664834487012542,0.630675047629297,13.301076005756974,72977,2.295921021734954,0.0,35.0,37,61877.0,59805.0
61,61,70322,70322,0.6668183498762834,0.8671312894205064,17.47404795085464,70305,2.5332685205949708,0.0,35.0,35,59805.0,59264.0
62,62,69780,69780,0.6659357982229865,0.767305880578224,15.423072513614215,69770,2.4324698770878737,2.0,35.0,35,59264.0,58283.0
63,63,68763,68763,0.6672629175574073,0.6003831413495795,11.957637101348109,68786,2.268026545953658,1.0,34.0,35,58283.0,56684.0
64,64,66878,66878,0.6638954514190017,0.6163333537924397,11.968106103651426,66884,2.2818507246776374,0.0,33.0,34,56684.0,55890.0
65,65,65815,65815,0.6658512497151106,0.7904606844275711,15.020177771024844,65805,2.4571615105948656,5.0,34.0,33,55890.0,56672.0
66,66,66873,66873,0.6677881955348197,0.646362765954541,12.539231079807994,66872,2.3148207667398752,0.0,35.0,34,56672.0,60038.0
67,67,70572,70572,0.666241568894179,0.9252241552295332,18.699200816187723,70565,2.591722057366689,9.0,37.0,35,60038.0,62086.0
68,68,73186,73186,0.6691170442434345,0.6859121007821352,14.470923400650396,73189,2.35682228783084,1.0,36.0,37,62086.0,60801.0
69,69,71612,71612,0.667053007875775,0.7523595615577795,15.512204658437131,71607,2.4186460489433808,2.0,32.0,36,60801.0,53735.0
70,70,63325,63325,0.6637189103829452,0.6439493887245289,11.838973549151204,63335,2.307775216523654,0.0,30.0,32,53735.0,50532.0
71,71,59542,59542,0.6664203419435021,0.719431239351347,12.418729636223173,59535,2.3865757833792616,1.0,20.0,30,50532.0,33629.0
72,72,39598,39598,0.6677357442295065,0.7493419077041131,8.75066922571847,39629,2.4177874091524325,0.0,18.0,20,33629.0,28873.0
73,73,34282,34282,0.6702934484569162,0.4692196349956412,4.931246718394493,34273,2.1381235559534923,0.0,15.0,18,28873.0,24156.0
74,74,28648,28648,0.6691915666015079,0.5482689110105117,4.846551242669645,28656,2.217473176629524,0.0,16.0,15,24156.0,26068.0
75,75,30865,30865,0.6684594200550785,0.5803287778884926,5.4373886278956745,30868,2.248559088534064,0.0,16.0,16,26068.0,25147.0
76,76,29940,29940,0.6694054776219105,0.3951584478086891,3.712057448229793,29947,2.0636891550716987,0.0,19.0,16,25147.0,31619.0
77,77,37353,37353,0.6651139132064359,0.7401200972344294,8.211522501539367,37334,2.405259910765352,5.0,23.0,19,31619.0,38574.0
78,78,45488,45488,0.6672089342244109,0.7471052292828245,9.97412504396764,45480,2.4140025567537866,2.0,29.0,23,38574.0,47574.0
79,79,56276,56276,0.6657367261354752,0.5252540014971909,8.700316298244367,56274,2.1899329334202395,0.0,30.0,29,47574.0,50773.0
80,80,59777,59777,0.6648209177442829,0.7603122728712277,13.148702678287636,59773,2.425618092252285,0.0,32.0,30,50773.0,53404.0
81,81,63001,63001,0.6679100331740766,0.6641309243514317,12.11460135553404,63004,2.334116806526937,0.0,33.0,32,53404.0,55031.0
82,82,64926,64926,0.6689307827372701,0.6504591739669621,12.26457813510766,64931,2.3202405521457945,0.0,34.0,33,55031.0,56917.0
83,83,67134,67134,0.6671433252897191,0.6749445379370853,13.129934161527691,67117,2.342169631523139,0.0,33.0,34,56917.0,54914.0
84,84,64804,64804,0.666980433306586,0.5896648792739057,11.1132800444417,64814,2.2571569019539157,0.0,32.0,33,54914.0,54363.0
85,85,63980,63980,0.6675367302281963,0.8400466153357472,15.48812128790247,63969,2.507636550033696,2.0,32.0,32,54363.0,53617.0
86,86,63192,63192,0.6669040384858843,0.6444720974381868,11.824060007595898,63217,2.311434349796244,0.0,31.0,32,53617.0,51457.0
87,87,60780,60780,0.6638861467588022,0.577532541957324,10.23956893715038,60757,2.241319605702276,0.0,31.0,31,51457.0,51367.0
88,88,60655,60655,0.6653037672079796,0.5887310552790748,10.42128431291732,60679,2.25444183902236,4.0,30.0,31,51367.0,50518.0
89,89,59531,59531,0.6658883606860291,0.7356621423278783,12.69177403369673,59518,2.4014691764567844,0.0,31.0,30,50518.0,53204.0
90,90,62568,62568,0.663486127093722,0.9579204633158744,17.26668584579977,62543,2.6207237491437554,13.0,32.0,31,53204.0,54640.0
91,91,64263,64263,0.6653906602555125,0.9188563234038444,17.005166269859796,64276,2.5847220218493443,12.0,33.0,32,54640.0,55998.0
92,92,65905,65905,0.6646688415143008,0.7913237920979148,15.033821409604734,65904,2.4558859094516285,2.0,34.0,33,55998.0,57216.0
