,periodIndex,totalInQueue,requestStartWaiting,arrivalEvent,requestWaitingTime,requestProcessed,totalTimeInSystem,requestCancelled,nextPeriodOptimalServers,CurrentPeriodNumberOfServers,nextPeriodReward,periodReward
50,50,4.323918113500907,30242,30242,0.3108031976660094,30242,1.814991345763084,0.0,17.0,16,28264.0,25442.0
51,51,5.518249495162602,33369,33369,0.3989520198114112,33364,1.9004551516972272,0.0,18.0,17,29660.0,28264.0
52,52,5.382418419356728,35060,35060,0.3658175769541042,35060,1.868266443167571,0.0,20.0,18,33483.0,29660.0
53,53,6.112456573183626,39478,39478,0.3885885912708008,39483,1.890790609007772,0.0,26.0,20,42391.0,33483.0
54,54,5.770646319569121,50198,50198,0.2842905919078379,50191,1.783593684810753,0.0,31.0,26,51280.0,42391.0
55,55,6.68042006503545,60578,60578,0.2927470470565496,60580,1.7925198192765175,0.0,33.0,31,55734.0,51280.0
56,56,7.7580985535821565,65652,65652,0.3325297415921745,65634,1.8321987373229036,0.0,35.0,33,59231.0,55734.0
57,57,8.196941791236561,69720,69720,0.3330221142470138,69731,1.8364620458802148,0.0,36.0,35,60295.0,59231.0
58,58,7.5508433451465375,71099,71099,0.3002916538472868,71095,1.7997528159534928,0.0,37.0,36,63505.0,60295.0
59,59,9.295261961351658,74621,74621,0.3626312633330509,74605,1.8628677383135923,0.0,35.0,37,59991.0,63505.0
60,60,9.164319761803952,70469,70469,0.3793789117533045,70491,1.8818663876718256,0.0,36.0,35,61343.0,59991.0
61,61,8.402835341585925,72156,72156,0.3347160491759228,72143,1.833361629432184,0.0,35.0,36,59578.0,61343.0
62,62,8.838194054963544,70078,70078,0.357277230513247,70078,1.8582914248579492,0.0,34.0,35,56554.0,59578.0
63,63,7.441129774870606,66743,66743,0.3022639603933384,66754,1.8033835358828407,0.0,34.0,34,56596.0,56554.0
64,64,7.132634017633053,66806,66806,0.2902325059104675,66796,1.7860259691720526,0.0,33.0,34,56381.0,56596.0
65,65,8.633927648197114,66269,66269,0.3649158232037385,66281,1.8614077847272037,0.0,34.0,33,57031.0,56381.0
66,66,7.804808092645993,67238,67238,0.319168292238793,67231,1.8176357895446,0.0,35.0,34,59057.0,57031.0
67,67,8.184827606172018,69556,69556,0.3323970960734818,69557,1.834152997513826,0.0,37.0,35,61389.0,59057.0
68,68,7.197314496058181,72488,72488,0.2782136873793839,72489,1.7789630503073812,0.0,35.0,37,60252.0,61389.0
69,69,9.233996358977818,70764,70764,0.3778911531902194,70752,1.877063400598166,0.0,32.0,35,54249.0,60252.0
70,70,7.902865369869016,63838,63838,0.3472634514687275,63849,1.8472535816543847,0.0,31.0,32,51112.0,54249.0
71,71,6.5089258149459726,60410,60410,0.2827278382548177,60412,1.782047936750652,0.0,20.0,31,33875.0,51112.0
72,72,6.370113050424847,39862,39862,0.4176196407501274,39875,1.9205493020862283,0.0,17.0,20,27005.0,33875.0
73,73,4.144270434052495,32111,32111,0.2832808829315698,32105,1.7820509300801726,0.0,17.0,17,26601.0,27005.0
74,74,4.00640634533252,31699,31699,0.2644070355617315,31701,1.764454696786534,0.0,16.0,17,25831.0,26601.0
75,75,4.818517597755442,30634,30634,0.3452631973042981,30631,1.8443715128158369,0.0,17.0,16,26981.0,25831.0
76,76,3.9519819886321694,32076,32076,0.2698173709161259,32081,1.7656601096778024,0.0,18.0,17,30167.0,26981.0
77,77,5.699919705401888,35565,35565,0.4021788712770325,35567,1.9039510353800204,0.0,24.0,18,38932.0,30167.0
78,78,5.166551842921116,46138,46138,0.2744946847525787,46132,1.773344287952337,0.0,27.0,24,45875.0,38932.0
79,79,7.31679953299159,53990,53990,0.372383800070408,53975,1.870777048134876,0.0,30.0,27,50027.0,45875.0
80,80,6.789631357072383,59022,59022,0.310703579905189,59027,1.808680519122125,0.0,32.0,30,53872.0,50027.0
81,81,7.925687592354259,63476,63476,0.3448917499820425,63472,1.8483127517853224,0.0,33.0,32,55221.0,53872.0
82,82,7.762920769775375,65122,65122,0.320865129483269,65121,1.8185013152546408,0.0,33.0,33,56760.0,55221.0
83,83,9.389513858116898,66648,66648,0.3970123905591757,66660,1.8974730497340664,0.0,33.0,33,56645.0,56760.0
84,84,9.217502087352086,66541,66541,0.3878986821675861,66545,1.88876039216788,0.0,32.0,33,54878.0,56645.0
85,85,8.675862887316631,64495,64495,0.3829358915195229,64478,1.882302948912671,0.0,32.0,32,52887.0,54878.0
86,86,6.842757366190174,62476,62476,0.2894895144128392,62487,1.792630767895661,0.0,30.0,32,49932.0,52887.0
87,87,6.695910926832756,58929,58929,0.3080150365693259,58932,1.8085610639122185,0.0,31.0,30,51632.0,49932.0
88,88,6.604471844591984,60938,60938,0.2929163732786092,60932,1.789374040368555,0.0,30.0,31,51074.0,51632.0
89,89,7.744586533074059,60073,60073,0.3586615645426728,60074,1.8553983896352049,0.0,31.0,30,51865.0,51074.0
90,90,7.2440070696844385,61174,61174,0.3168930697502872,61165,1.813631368928148,0.0,33.0,31,55457.0,51865.0
91,91,8.339378559049269,65371,65371,0.3445396439946593,65357,1.8474246553130536,0.0,33.0,33,56555.0,55457.0
92,92,8.77654626852697,66429,66429,0.3745600883591889,66455,1.8752813021386312,0.0,32.0,33,54625.0,56555.0
93,93,7.80420290970672,64226,64226,0.347416646672975,64225,1.8437236795949608,0.0,29.0,32,47795.0,54625.0
94,94,6.246026894865525,56496,56496,0.2886902753725267,56495,1.7923863981014625,0.0,26.0,29,44029.0,47795.0
95,95,7.049324709910596,51828,51828,0.3651190997569539,51829,1.866646584229616,0.0,25.0,26,42205.0,44029.0
96,96,6.652380570374233,49700,49700,0.3637036595006871,49705,1.8635703519512543,0.0,20.0,25,32824.0,42205.0
97,97,5.264908069179988,38825,38825,0.3315125343643268,38824,1.8358432133035365,0.0,19.0,20,30859.0,32824.0
98,98,4.665946044698861,36562,36562,0.3017201441374237,36559,1.797231416232282,0.0,18.0,19,28565.0,30859.0
99,99,4.231740991301947,33964,33964,0.2782720509090398,33965,1.7806977401694208,0.0,18.0,18,30215.0,28565.0
100,100,5.7677047605981615,35602,35602,0.4079583875606913,35615,1.9111313267045624,0.0,22.0,18,36869.0,30215.0
101,101,6.2358937444852085,43482,43482,0.3657616069623631,43469,1.864165862017876,0.0,28.0,22,47340.0,36869.0
102,102,7.388857274958211,55744,55744,0.3622601975879448,55740,1.8638327088992848,0.0,33.0,28,55850.0,47340.0
103,103,8.092271030023376,65774,65774,0.3476955579562488,65750,1.8494938445107003,0.0,36.0,33,61181.0,55850.0
104,104,8.191275355040316,71956,71956,0.3286300467444897,71981,1.827909753396807,0.0,37.0,36,63504.0,61181.0
105,105,9.63438579244868,74627,74627,0.3699762893568163,74604,1.8680629607318917,0.0,39.0,37,66140.0,63504.0
106,106,8.880760554302288,77808,77808,0.3279706171186012,77840,1.8283494558650175,0.0,40.0,39,68490.0,66140.0
107,107,10.24856882799588,80504,80504,0.3669136482677884,80490,1.8688989616570624,0.0,39.0,40,66249.0,68490.0
108,108,9.531611019423638,77946,77946,0.349958759530559,77949,1.849708603890006,0.0,38.0,39,65216.0,66249.0
109,109,8.870061748042524,76617,76617,0.3427600416081811,76616,1.840677029827392,0.0,38.0,38,64139.0,65216.0
110,110,8.41975425972439,75546,75546,0.3152183221736272,75539,1.814952583690535,0.0,37.0,38,62076.0,64139.0
111,111,8.32471362141318,73172,73172,0.3143897914040197,73176,1.8126330156136143,0.0,36.0,37,61871.0,62076.0
112,112,9.660593516406736,72670,72670,0.3800954406178214,72671,1.880081923671681,0.0,36.0,36,60957.0,61871.0
113,113,8.143411888849807,71749,71749,0.3195123550072791,71757,1.8202651535830352,0.0,36.0,36,61898.0,60957.0
114,114,9.31388211222161,72704,72704,0.3754687030112142,72698,1.8764596931072823,0.0,38.0,36,65521.0,61898.0
115,115,10.068010044560427,76927,76927,0.386272318132023,76921,1.8881767347265617,0.0,40.0,38,68824.0,65521.0
116,116,9.807027738576664,80835,80835,0.3585664230478749,80824,1.8590612895459768,0.0,40.0,40,67682.0,68824.0
117,117,8.861803318350248,79667,79667,0.3198202317308091,79682,1.819408755706848,0.0,35.0,40,58307.0,67682.0
118,118,7.482981076431556,68805,68805,0.2965738125714001,68807,1.7985214457647225,0.0,33.0,35,54686.0,58307.0
119,119,6.840809845176658,64582,64582,0.2879672274476615,64586,1.7920386872447158,0.0,25.0,33,41594.0,54686.0
120,120,5.898282184906389,49085,49085,0.3145228504766237,49094,1.813196190705876,0.0,22.0,25,36477.0,41594.0
121,121,5.707682956479456,43083,43083,0.3345582040717741,43077,1.8343075974198688,0.0,19.0,22,31867.0,36477.0
122,122,5.757916885849553,37562,37562,0.3886184299167097,37567,1.8885232234733031,0.0,20.0,19,32829.0,31867.0
123,123,5.504085394371234,38837,38837,0.3348259934852541,38829,1.8344147247763527,0.0,21.0,20,34871.0,32829.0
124,124,5.557295069608483,41173,41173,0.3439862496079011,41171,1.843509009812441,0.0,24.0,21,39848.0,34871.0
125,125,5.799731813610459,47046,47046,0.3212382061471036,47048,1.821642907919505,0.0,31.0,24,51165.0,39848.0
126,126,6.337188917604959,60471,60471,0.2812124074284114,60465,1.7809855003134132,0.0,36.0,31,59727.0,51165.0
127,127,7.117814214293312,70544,70544,0.2780147401451877,70527,1.7789662234256798,0.0,39.0,36,64877.0,59727.0
128,128,7.918389904021042,76559,76559,0.286460378547871,76577,1.7851479154800984,0.0,41.0,39,69250.0,64877.0
129,129,9.118909744408946,81556,81556,0.3177417853307263,81550,1.8174430146070613,0.0,42.0,41,71873.0,69250.0
130,130,9.713551017571495,84477,84477,0.3404688036723827,84473,1.8396748782238703,0.0,43.0,42,73135.0,71873.0
131,131,9.44681399847588,86039,86039,0.3216474577091994,86035,1.816531257799021,0.0,42.0,43,71701.0,73135.0
132,132,9.664554968324524,84301,84301,0.3364213977335238,84301,1.8374414942375423,0.0,42.0,42,70774.0,71701.0
133,133,9.117208554827544,83360,83360,0.3123663917702373,83374,1.811202612606128,0.0,41.0,42,70000.0,70774.0
134,134,10.003703703703705,82297,82297,0.3521564237930466,82300,1.853700795232647,0.0,40.0,41,67602.0,70000.0
135,135,8.52635405307161,79602,79602,0.3088263254591046,79602,1.803163131843596,0.0,39.0,40,66785.0,67602.0
136,136,9.413004791238878,78501,78501,0.3508286881178489,78485,1.849684300471116,0.0,40.0,39,67376.0,66785.0
137,137,8.677714507570855,79377,79377,0.3126989663477237,79376,1.8145034839372085,0.0,40.0,40,68306.0,67376.0
138,138,9.572581626938716,80293,80293,0.3481167776686039,80306,1.8490978116844852,0.0,41.0,40,70410.0,68306.0
139,139,10.590724705061891,82716,82716,0.3719536185420195,82710,1.8719990008792595,0.0,43.0,41,73538.0,70410.0
140,140,10.018891290642168,86448,86448,0.3421372199683971,86438,1.8428402791902707,0.0,42.0,43,71502.0,73538.0
141,141,9.82716253378498,84099,84099,0.3374073152105741,84102,1.8372946056927932,0.0,37.0,42,62784.0,71502.0
142,142,8.840773272369951,73882,73882,0.3430101941011346,73884,1.845694495320925,0.0,36.0,37,60478.0,62784.0
143,143,7.884045637467726,71282,71282,0.312605270282892,71278,1.8137838491821203,0.0,26.0,36,43123.0,60478.0
144,144,6.419595535510153,50894,50894,0.3224826134454616,50923,1.8246574095810384,0.0,22.0,26,35912.0,43123.0
145,145,5.759623393997527,42512,42512,0.3268389724958936,42512,1.8319953934284208,0.0,19.0,22,31031.0,35912.0
146,146,5.081504608980078,36737,36737,0.3213282178489638,36731,1.8171720981969304,0.0,20.0,19,32753.0,31031.0
